1,AECase_KidsCount_StateCityData1990_2004,State and city birth data,Health,Vulnerable births data,1990-2004,City/State,US,Annie E Casey,Excel,G:\Source Data\AnnieECaseyFoundation
2,All55Cities_90-04,City birth profiles,Health,Vulnerable births data,1990-2004,City/State,US,Annie E Casey,Excel,G:\Source Data\AnnieECaseyFoundation
3,COChildrensCampaign_CORawData,Raw data zip file,,,,,,,Zip,G:\Source Data\AnnieECaseyFoundation
4,COKidscountProfile_2000-04,Colorado Kids Count profile,Profile,"Health, Education, Demographics",2000-2004,State,State,Annie E Casey,Excel,G:\Source Data\AnnieECaseyFoundation
5,COProfile_Kidscount,Full indicator list for Kids Count profile,Profile,"Health, Education, Demographics",1992-2005,State,State,Annie E Casey,Excel,G:\Source Data\AnnieECaseyFoundation
6,kidscount2007,Colorado Kids Count Report,Profile,"Health, Education, Demographics",2007,State,State,Colorado Children's Campaign,PDF report,G:\Source Data\AnnieECaseyFoundation
7,APS_DataRequest_Apr10,Form request for data,Data request,,,,,,Word,G:\Source Data\AuroraPublicSchools
8,APS_DataRequest_Jan09,Form request for data,Data request,,,,,,Word,G:\Source Data\AuroraPublicSchools
9,APS_DataRequest_March11,Form request for data,Data request,,,,,,Word,G:\Source Data\AuroraPublicSchools
10,APS_DataRequest_March11,Form request for data,Data request,,,,,,PDF document,G:\Source Data\AuroraPublicSchools
11,Piton_Approval Letter,Form request for data,Data request,,,,,,Word,G:\Source Data\AuroraPublicSchools
12,APS2004_Final,,,,,,,,Shapefile,G:\Source Data\AuroraPublicSchools\APS_Students_2004-06\APS 2004-2006 Student Data_Piton
13,APS2004Other_Final,,,,,,,,Shapefile,G:\Source Data\AuroraPublicSchools\APS_Students_2004-06\APS 2004-2006 Student Data_Piton
14,APS2005_Final,,,,,,,,Shapefile,G:\Source Data\AuroraPublicSchools\APS_Students_2004-06\APS 2004-2006 Student Data_Piton
15,APS2005Other_Final,,,,,,,,Shapefile,G:\Source Data\AuroraPublicSchools\APS_Students_2004-06\APS 2004-2006 Student Data_Piton
16,APS2006_Final,,,,,,,,Shapefile,G:\Source Data\AuroraPublicSchools\APS_Students_2004-06\APS 2004-2006 Student Data_Piton
17,APS2006Other_Final,,,,,,,,Shapefile,G:\Source Data\AuroraPublicSchools\APS_Students_2004-06\APS 2004-2006 Student Data_Piton
18,PitonStuFileFinal,,,,,,,,Shapefile,G:\Source Data\AuroraPublicSchools\APS_Students_Oct08
19,Oct2010-11_Piton,,,,,,,,Shapefile,G:\Source Data\AuroraPublicSchools\Oct 2010_Piton
20,APS 2004-2006 Student Data_Piton,,,,,,,,Zip,G:\Source Data\AuroraPublicSchools\OriginalFiles
21,Piton,,,,,,,,Zip,G:\Source Data\AuroraPublicSchools\OriginalFiles
22,LaborForceDataByCounty_05,Labor force data by county,Employment,Employment,2005,County,US,BLS,Excel,G:\Source Data\BLS
23,LaborForceDataByCounty_06,Labor force data by county,Employment,Employment,2006,County,US,BLS,Excel,G:\Source Data\BLS
24,2003_EITC_CO_ZIP,Earned income tax credit return summaries by zip code,EITC,EITC,2003,Zip/City/County,State,Brookings,Excel,G:\Source Data\BrookingsInstitution
25,2004_COzipcode_Brookings,Map of EITC filings as a percentage of total returns,EITC,EITC,2004,Zip/City/County,State,Brookings,PDF map,G:\Source Data\BrookingsInstitution
26,2004_EITC_CO_ZIP,Earned income tax credit return summaries by zip code,EITC,EITC,2004,Zip/City/County,State,Brookings,Excel,G:\Source Data\BrookingsInstitution
27,2005_EITC_CO_ZIP,Earned income tax credit return summaries by zip code,EITC,EITC,2005,Zip/City/County,State,Brookings,Excel,G:\Source Data\BrookingsInstitution
28,2006_EITC_PartYear,Earned income tax credit return summaries by zip code,EITC,EITC,2006,Zip/City/County,State,Brookings,Excel,G:\Source Data\BrookingsInstitution
29,colorado_return_data_2008,Earned income tax credit return summaries by zip code,EITC,EITC,2008,Zip/City/County,State,Brookings,Excel,G:\Source Data\BrookingsInstitution
30,EITC_AdditionalNotes_email,Additional information on using the EITC data,EITC,EITC,NA,NA,NA,Brookings,Word,G:\Source Data\BrookingsInstitution
31,EITC_DataNotes,Earned income tax credit return data dictionary,EITC,EITC,NA,NA,NA,Brookings,Word,G:\Source Data\BrookingsInstitution
32,EITC_Participation_KnownIssues,Document describing known issues with using the EITC data,EITC,EITC,NA,NA,NA,Brookings,PDF document,G:\Source Data\BrookingsInstitution
33,TY2006 PartYear,Earned income tax credit return summaries by zip code,EITC,EITC,2006,Zip/City/County,State,Brookings,Excel,G:\Source Data\BrookingsInstitution
34,1997_IRS,Tax returns by zip code,Tax,Tax,1997,Zip/City/County,State,IRS,Excel,G:\Source Data\BrookingsInstitution\IRS_1997to2005
35,1998_IRS,Tax returns by zip code,Tax,Tax,1998,Zip/City/County,State,IRS,Excel,G:\Source Data\BrookingsInstitution\IRS_1997to2005
36,1999_IRS,Tax returns by zip code,Tax,Tax,1999,Zip/City/County,State,IRS,Excel,G:\Source Data\BrookingsInstitution\IRS_1997to2005
37,2000_IRS,Tax returns by zip code,Tax,Tax,2000,Zip/City/County,State,IRS,Excel,G:\Source Data\BrookingsInstitution\IRS_1997to2005
38,2001_IRS,Tax returns by zip code,Tax,Tax,2001,Zip/City/County,State,IRS,Excel,G:\Source Data\BrookingsInstitution\IRS_1997to2005
39,2002_IRS,Tax returns by zip code,Tax,Tax,2002,Zip/City/County,State,IRS,Excel,G:\Source Data\BrookingsInstitution\IRS_1997to2005
40,2003_IRS,Tax returns by zip code,Tax,Tax,2003,Zip/City/County,State,IRS,Excel,G:\Source Data\BrookingsInstitution\IRS_1997to2005
41,2004_IRS,Tax returns by zip code,Tax,Tax,2004,Zip/City/County,State,IRS,Excel,G:\Source Data\BrookingsInstitution\IRS_1997to2005
42,2005_IRS,Tax returns by zip code,Tax,Tax,2005,Zip/City/County,State,IRS,Excel,G:\Source Data\BrookingsInstitution\IRS_1997to2005
43,2006_IRS,Tax returns by zip code,Tax,Tax,2006,Zip/City/County,State,IRS,Excel,G:\Source Data\BrookingsInstitution\IRS_1997to2005
44,2007_IRS,Tax returns by zip code,Tax,Tax,2007,Zip/City/County,State,IRS,Excel,G:\Source Data\BrookingsInstitution\IRS_1997to2005
45,20062007bilingualschool,List of bilingual schools,Education,School type,2006-2007,School,State,CDE,Excel,G:\Source Data\CDE
46,CDE Data Request Form 2011,Form request for data,Data request,,2011,School,State,CDE,Word,G:\Source Data\CDE
47,CDE Data Request Form 2011_CSAPforGrowthModel,Filled out data request form,Data request,,2011,School,State,CDE,Word,G:\Source Data\CDE
48,3-Year Point Change Syntax,,Education,School performance,,School,State,CDE,SPS,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
49,2004-2005 3rd Grade CSAP Escritura,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
50,2004-2005 3rd Grade CSAP Lectura,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
51,2004-2005 3rd Grade CSAP Math,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
52,2004-2005 3rd Grade CSAP Reading,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
53,2004-2005 3rd Grade CSAP Writing,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
54,2004-2005 4th Grade CSAP Escritura,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
55,2004-2005 4th Grade CSAP Lectura,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
56,2004-2005 4th Grade CSAP Math,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
57,2004-2005 4th Grade CSAP Reading,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
58,2004-2005 4th Grade CSAP Writing,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
59,2004-2005 5th Grade CSAP Math,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
60,2004-2005 5th Grade CSAP Reading,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
61,2004-2005 5th Grade CSAP Writing,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
62,2004-2005 6th Grade CSAP Math,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
63,2004-2005 6th Grade CSAP Reading,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
64,2004-2005 6th Grade CSAP Writing,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
65,2004-2005 7th Grade CSAP Math,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
66,2004-2005 7th Grade CSAP Reading,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
67,2004-2005 7th Grade CSAP Writing,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
68,2004-2005 8th Grade CSAP Math,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
